Date,1: Python & Coding (Logic),2: Core Subject (DE/SQL),3: Implementation & Hard Problems,Status
10/06/2026,Multiprocessing: Pool usage,Horizontal vs Vertical Scaling,Logic: Parallelize 1k tasks,Not Completed
11/06/2026,Threading: I/O bound waits,Consistent Hashing Logic,Logic: Fetch 10 URLs at once,Not Completed
12/06/2026,Regex: re.sub & re.match,PII/GDPR Masking Logic,Logic: Extract data from text,Not Completed
13/06/2026,LC Med: Max Subarray,SQL: First/Last Value in Group,Speed: Solve in < 25 mins,Not Completed
14/06/2026,LC Med: Reverse Linked List,SCD Type 1 vs Type 2 Logic,Speed: Solve in < 25 mins,Not Completed
15/06/2026,DuckDB: Local SQL in Python,BQ BI Engine vs MV Trade-offs,Logic: Query CSV via DuckDB,Not Completed
16/06/2026,Polars: Vectorized Dataframes,Data Observability Metrics,Logic: Filter 1M rows in Polars,Not Completed
17/06/2026,Project: API-to-DB Pipeline,SQL: Handling NULLs in Joins,Logic: Pydantic + Logging,Not Completed
18/06/2026,LC Med: Longest Substring,Spark: Driver/Executor/Cores,Python: Setup Local PySpark,Not Completed
19/06/2026,LC Med: Container with Water,Spark: Lazy Eval & DAGs,Python: Write a .map pipeline,Not Completed
20/06/2026,Python: itertools (chain/zip),Spark: Transf. vs Actions,Python: Write a .filter job,Not Completed
21/06/2026,Python: collections (Counter),Spark: The Shuffle Internals,Python: Write a .groupBy job,Not Completed
22/06/2026,LC Med: 3Sum,Spark: repartition vs coalesce,Python: PySpark join script,Not Completed
23/06/2026,Advanced Lambda/Map,Spark: Sort-Merge Joins,Python: Multi-table join script,Not Completed
24/06/2026,LC Med: Search in Rotated Array,Spark: Broadcast Joins,Arch: Join strategy trade-offs,Not Completed
25/06/2026,Python: Spark Data Skew logic,Spark: Salting in PySpark,Arch: Cost of Shuffle in Cloud,Not Completed
26/06/2026,LC Med: Valid Parentheses,Spark: Window Functions,Python: PySpark Window coding,Not Completed
27/06/2026,Python: Spark UI Debugging,Spark: Memory Management,Logic: Fixing Spill to Disk,Not Completed
28/06/2026,LC Med: Top K Frequent,Spark: Caching/Persist Levels,Arch: Serialization (Kryo),Not Completed
29/06/2026,Iceberg: Table Snapshots,Iceberg: Hidden Partitioning,Python: Iceberg metadata script,Not Completed
30/06/2026,Delta Lake: Z-Ordering script,Delta Lake: Vacuum & Optimize,Arch: Compaction strategies,Not Completed
01/07/2026,Beam: PCollections logic,GCP: Dataflow Runner,Python: Write a Beam ParDo,Not Completed
02/07/2026,Beam ParDo: DoFn logic,GCP: Dataflow Side Inputs,Python: Complex transform logic,Not Completed
03/07/2026,Beam Windowing: Sliding,Arch: Watermarks & Latency,Python: Script a Sliding Window,Not Completed
04/07/2026,Beam: Allowed Lateness,Arch: Triggers & Panes,Python: Late data handling script,Not Completed
05/07/2026,LC Med: Number of Islands,Kafka: Topic Partitions,Arch: Consumer Group Rebalance,Not Completed
06/07/2026,Kafka Producer script,Arch: Exactly-Once Semantics,Python: Offset management script,Not Completed
07/07/2026,Pub/Sub: Pull vs Push scripts,GCP: Dead Letter Topics,Python: Pub/Sub Async Subscriber,Not Completed
08/07/2026,BQ Search Indexing,GCP: BQ ML (Logistic Reg),Python: Unstructured data query,Not Completed
09/07/2026,LC Med: Course Schedule,Arch: Lambda vs Kappa,Arch: Streaming Architecture,Not Completed
10/07/2026,Python Profiling: cProfile,GCP: BQ Omni Multi-Cloud,Logic: Finding code bottlenecks,Not Completed
11/07/2026,Python: BQ MV Refresh script,GCP: BI Engine Acceleration,Arch: MV Refresh Strategies,Not Completed
12/07/2026,LC Med: Subsets,Arch: Data Mesh Ownership,Arch: Decentralized Data,Not Completed
13/07/2026,Python: @dataclass usage,Arch: Metadata Management,Logic: Schema Object script,Not Completed
14/07/2026,LC Med: Word Search,Arch: FinOps Cloud Savings,Logic: Cloud Billing Analysis,Not Completed
15/07/2026,Phase 2 Review,Data Contracts,Logic: Re-code Skew fix,Not Completed
16/07/2026,Python: Script a Rate Limiter,SD: Design TinyURL,Arch: NoSQL vs SQL for URLs,Not Completed
17/07/2026,Python: Script a LRU Cache,SD: Design Twitter News Feed,Arch: Fan-out on write/read,Not Completed
18/07/2026,LC Hard: Merge K Sorted Lists,SD: Design Web Crawler,Arch: URL Frontier logic,Not Completed
19/07/2026,LC Hard: Trapping Rain Water,SD: Scaling Image Uploads,Arch: CDN & S3 optimization,Not Completed
20/07/2026,Python: BQ Client Library,SD: YouTube View Counter,Python: BQ Dry-run Cost Script,Not Completed
21/07/2026,LC Med: Coin Change,SD: Ad-Click Aggregator,Arch: Real-time windowing,Not Completed
22/07/2026,Python: Script a Bloom Filter,SD: Real-time Leaderboard,Arch: Redis Sorted Sets,Not Completed
23/07/2026,LC Med: Longest Increasing Sub,SD: Distributed ID Gen,Arch: Snowflake ID vs UUID,Not Completed
24/07/2026,Python: GCS Client Lib,SD: Data Mesh Implementation,Arch: Federated Governance,Not Completed
25/07/2026,Python: Consistent Hashing,SD: Multi-region Replication,Arch: RPO/RTO calculation,Not Completed
26/07/2026,LC Hard: Sliding Window Max,SD: Backfill Strategies,Logic: Deterministic backfills,Not Completed
27/07/2026,Python: Airflow Custom Op,SD: Schema Registry Design,Arch: Protobuf vs JSON,Not Completed
28/07/2026,Python: Mocking in pytest,SD: Vector DBs for GenAI,Python: Pinecone/Milvus script,Not Completed
29/07/2026,Python: 3.12 Typing,SD: RAG Architecture,Arch: Chunking strategies,Not Completed
30/07/2026,LC Med: Subsets II,SD: Disaster Recovery,Arch: Region vs Zone failure,Not Completed
31/07/2026,BFS/DFS Logic in Python,SD: Log Aggregation (ELK),Arch: Indexing log data,Not Completed
01/08/2026,LC Med: Clone Graph,SD: API Design (gRPC/REST),Arch: Protocol Buffers internal,Not Completed
02/08/2026,Bit Manipulation tricks,SD: LSM Trees vs B-Trees,Arch: Database engine write path,Not Completed
03/08/2026,Python: heapq mastery,SD: Small File Problem,Python: File compaction script,Not Completed
04/08/2026,LC Med: Pacific Atlantic,SD: CDC via Debezium,Arch: Write Ahead Log (WAL),Not Completed
05/08/2026,Timsort Logic,SD: Metrics Store (Semantic),Arch: Looker/Tableau Logic,Not Completed
06/08/2026,Implement Trie (Prefix Tree),SD: Data Contract Enforcer,Python: Schema validator script,Not Completed
07/08/2026,Python: aiohttp Async,SD: Observability (SLIs/SLOs),Arch: Distributed Tracing,Not Completed
08/08/2026,LC Hard: Median of Arrays,SD: BQ SQL Optimization,Python: BQ Cost Estimator,Not Completed
09/08/2026,Python: C-API Overview,SD: Hybrid Cloud Data Flow,Arch: Anthos / Multi-cloud,Not Completed
10/08/2026,LC Med: Kth Largest Element,SD: Security (IAM/KMS),Arch: Encryption at Rest,Not Completed
11/08/2026,Python: BQ Dry-runs script,SD: FinOps Automation,Python: Billing Alerting script,Not Completed
12/08/2026,Project: Petabyte Scale Design,SD: Whiteboard Session,Arch: Iceberg vs Delta trade-offs,Not Completed
13/08/2026,"Revision: Lists, Dicts, Sets",Logic: O(N) efficiency,Python: Re-write Phase 1 logic,Not Completed
14/08/2026,Revision: OOP & Inheritance,Logic: Decorators & Generators,Python: Build a Framework base,Not Completed
15/08/2026,Revision: Spark Internals,Logic: Shuffle & Skew,Python: Re-code Salting logic,Not Completed
16/08/2026,Revision: Apache Beam,Logic: Windowing & Watermarks,Python: Triggering logic script,Not Completed
17/08/2026,Revision: BigQuery,Logic: Slots & Partitioning,SQL: BQ Optimization techniques,Not Completed
18/08/2026,Revision: System Design 1,"TinyURL, Twitter, YouTube",Arch: Trade-off deep dive,Not Completed
19/08/2026,Revision: System Design 2,"Kafka, Rate Limiters, Hashing",Arch: Distributed consensus,Not Completed
20/08/2026,Revision: Hard SQL 1,"Recursive CTEs, Gaps/Islands",SQL: Solve 5 Hard problems,Not Completed
21/08/2026,Revision: Hard SQL 2,"Window Funcs, JSON, PIVOT",SQL: Solve 5 Hard problems,Not Completed
22/08/2026,Final Review: STAR Stories,Architectural Trade-offs,Final Mentality Prep,Not Completed
